2026-04-11 23:39:04 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:39:04 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:39:05 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:39:07 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:39:07 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:39:08 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:39:28 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:39:29 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:39:29 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:39:30 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:39:30 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:39:32 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:39:32 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:39:33 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:39:34 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:39:34 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:39:35 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:39:36 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:39:38 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:39:38 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:39:39 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:39:39 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:39:40 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:39:40 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:39:41 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:39:42 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:39:42 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:39:44 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:39:45 | INFO     | repositories.assets | Model loaded from models\btc_lstm_model.h5 (compile=False)
2026-04-11 23:39:45 | INFO     | repositories.assets | Scaler loaded from models\scaler.pkl (joblib)
2026-04-11 23:39:45 | INFO     | core.loader | DELIVERY: Using local merged_data.csv (Steady state)...
2026-04-11 23:39:45 | INFO     | facades.forecasting | Initiating Market Actuals Synchronization
2026-04-11 23:39:45 | INFO     | repositories.firestore | Syncing actual price $66931.1015625 for 2026-04-03
2026-04-11 23:39:46 | INFO     | repositories.firestore | Syncing actual price $67290.515625 for 2026-04-04
2026-04-11 23:39:46 | INFO     | repositories.firestore | Syncing actual price $68981.8984375 for 2026-04-05
2026-04-11 23:39:46 | INFO     | repositories.firestore | Syncing actual price $68859.828125 for 2026-04-06
2026-04-11 23:39:46 | INFO     | repositories.firestore | Syncing actual price $71940.703125 for 2026-04-07
2026-04-11 23:39:46 | INFO     | repositories.firestore | Syncing actual price $71123.359375 for 2026-04-08
2026-04-11 23:39:46 | INFO     | repositories.firestore | Syncing actual price $71767.828125 for 2026-04-09
2026-04-11 23:40:21 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:40:23 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:40:23 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:40:24 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:40:24 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:40:25 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:40:25 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:40:26 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:40:27 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:40:27 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:40:28 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:40:30 | INFO     | repositories.assets | Model loaded from models\btc_lstm_model.h5 (compile=False)
2026-04-11 23:40:30 | INFO     | repositories.assets | Scaler loaded from models\scaler.pkl (joblib)
2026-04-11 23:40:30 | INFO     | repositories.firestore | Querying latest forecasting snapshot
2026-04-11 23:40:31 | INFO     | facades.forecasting | Initiating Ground-Up Forecast (Source: USER)
2026-04-11 23:40:31 | INFO     | core.standardizer | Enforcing 12-feature schema on dataset of shape (1826, 12)
2026-04-11 23:40:31 | INFO     | repositories.firestore | Loading latest calibration state
2026-04-11 23:40:31 | INFO     | repositories.firestore | Fetching document calibration_state/latest
2026-04-11 23:42:02 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:42:03 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:42:03 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:42:04 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:42:04 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:42:05 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:42:05 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:42:07 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:42:08 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:42:08 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:42:09 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:42:20 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:42:22 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:42:22 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:42:23 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:42:23 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:42:24 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:42:24 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:42:26 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:42:27 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:42:27 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:42:28 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:42:29 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:42:31 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
